Ciclo,RMP,DESC_FIN,DESC_PROPOSITO,DESC_PP,DESC_AI
2008,1K025,,,Proyectos de inmuebles (oficinas administrativas),Llevar a cabo el Proceso Legislativo
2008,1K027,,,Mantenimiento de infraestructura,Llevar a cabo el Proceso Legislativo
2008,1R001,,,Actividades derivadas del trabajo legislativo,Llevar a cabo el Proceso Legislativo
2008,1R002,,,Presentar el informe de resultados,Fiscalización de la Cuenta de la Hacienda Pública Federal
2008,1R301,,,Actividades derivadas del trabajo legislativo (Ampliaciones determinadas por la Cámara de Diputados),Llevar a cabo el Proceso Legislativo
2008,2K027,,,Mantenimiento de infraestructura,"Asesoría, coordinación, difusión y apoyo de las actividades del Presidente de la República"
2008,2M001,,,Actividades de apoyo administrativo,Servicios de apoyo administrativo
2008,2O001,,,Actividades de apoyo a la función pública y buen gobierno,Función pública y buen gobierno
2008,2P001,,,"Asesoramiento, coordinación, difusión y apoyo de las acciones en materia de seguridad nacional a cargo del Consejo de Seguridad Nacional",Integración y Coordinación de las instituciones de Seguridad Nacional
2008,2P002,,,"Asesoraría, coordinación, difusión y apoyo técnico de las actividades del Presidente de la República","Asesoría, coordinación, difusión y apoyo de las actividades del Presidente de la República"
2008,2P003,,,Atención y seguimiento a las solicitudes y demandas de la ciudadanía.,"Asesoría, coordinación, difusión y apoyo de las actividades del Presidente de la República"
2008,3R001,,,Otras Actividades,Impartir justicia en el ámbito de su competenciaResolver impugnaciones en procesos electorales
2008,4E001,,,Servicios de inteligencia para la Seguridad Nacional,Inteligencia para la Seguridad Nacional
2008,4E002,,,Preservación y difusión del acervo documental de la Nación y de las Revoluciones de México,Acervo Documental de la Nación
2008,4E004,,,Producción de programas informativos de radio y televisión del Ejecutivo Federal,Comunicación Social del Gobierno Federal
2008,4E005,,,"Monitoreo de contenidos en cine, radio, televisión y editorial",Comunicación Social del Gobierno Federal
2008,4E006,Contribuir a la tarea de asegurar el respeto a los derechos humanos a solicitantes de la condición de refugio y a refugiados a través de brindarles protección y asistencia de acuerdo con estándares de calidad establecidos.,Todos los solicitantes de la condición de refugio y refugiados reciben protección y asistencia inmediata.,Atención a refugiados en el país,Atención a refugiados
2008,4E007,,,Programa de protección a migrantes (Grupos Beta),Servicio de Migración
2008,4E008,Contribuir al desarrollo nacional a través de una adecuada gestión migratoria con base en el marco legal que facilite los flujos migratorios con respeto a la dignidad humana.,Contribuir al desarrollo nacional a través de una adecuada gestión migratoria con base en el marco legal que facilite los flujos migratorios con respeto a la dignidad humana.,"Servicios migratorios en fronteras, puertos y aeropuertos",Servicio de Migración
2008,4E009,Contribuir a reducir los efectos negativos de los desastres en la población mediante el fortalecimiento y la articulación del Sistema Nacional de Protección Civil,"El Sistema Nacional de Protección Civil responde adecuadamente (prevé, previene, se anticipa y atiende) a las emergencias y los desastres",Coordinación y operación del Sistema Nacional de Protección Civil,Sistema Nacional de Protección Civil
2008,4E010,"Dar cumplimientoa la Ley Federal de los trabajadores al servicio del Estado, reglamentaria del apartado ""B"" del Art. 123 Constitucional mediante la resolución de las demandas presentadas","Los trabajadores al servicio del Estado, reciben justicia en la solución de sus conflictos laborales.",Impartición de justicia laboral para los trabajadores al servicio del Estado,Justicia laboral para los trabajadores al servicio del Estado
2008,4K015,,,Proyectos de infraestructura gubernamental de gobernación,"Política interior y las relaciones del Ejecutivo Federal con el Congreso de la Unión, Entidades Federativas y Asociaciones Políticas y SocialesServicios de apoyo administrativo|Inteligencia para la Seguridad Nacional|Servicio de Migración|Comunicación Social del Gobierno Federal"
2008,4M001,,,Actividades de apoyo administrativo,Servicios de apoyo administrativo
2008,4O001,,,Actividades de apoyo a la función pública y buen gobierno,Función pública y buen gobierno
2008,4O099,,,Operación del Servicio Profesional de Carrera en la Administración Pública Federal Centralizada,"Política interior y las relaciones del Ejecutivo Federal con el Congreso de la Unión, Entidades Federativas y Asociaciones Políticas y Sociales|Atención a refugiadosAcervo Documental de la Nación|Derechos Humanos y Prevención de la Discriminación|Justicia laboral para los trabajadores al servicio del Estado|Planeación Demográfica|Sistema Nacional de Protección Civil|Inteligencia para la Seguridad Nacional|Servicio de Migración|Comunicación Social del Gobierno Federal"
2008,4P001,"Consolidar un régimen democrático, a través del acuerdo y el diálogo entre los Poderes de la Unión, los órdenes de gobierno, los partidos políticos y los ciudadanos.|Contribuír al fortalecimiento de la democracia mediante el acuerdo con los poderes de la Unión, los órdenes de gobierno, los partidos, las organizaciones políticas y sociales y la participación ciudadana","Distender y/o solucionar los conflictos de impacto nacional que pongan en riesgo la gobernabilidad.|Estrechar el diálogo con el Congreso de la Unión, con los distintos grupos parlamentarios de cada una de las Cámaras y con los Legisladores en lo individual para buscar una agenda consensuada; establecer mecanismos de coordinación y articulación entre todas las dependencias de la APF en materia de proyectos e iniciativas del carácter legislativo.","Conducción de la política interior y las relaciones del Ejecutivo Federal con el Congreso de la Unión, Entidades Federativas y Asociaciones Políticas y Sociales","Política interior y las relaciones del Ejecutivo Federal con el Congreso de la Unión, Entidades Federativas y Asociaciones Políticas y Sociales"
2008,4P002,"Contribuir al desarrollo político del país, impulsando la cultura democrática y el fomento cívico, la participación ciudadana y la relación con organizaciones políticas y sociales, así como la reforma del Estado.","Contar con una sociedad que comparta y practique los valores democráticos y cívicos, con espacios de participación ciudadana, diálogo con organizaciones políticas y sociales e instituciones democráticas sólidas.",Actividades para contribuir al desarrollo político y cívico social del país,Desarrollo político y cívico social del país
2008,4P003,"Que se prevenga y elimine la exclusión social hacia ciertas diferencias, a través de un compromiso real por parte de todos los sectores en una lucha frontal contra la discriminación, en la que se tenga claramente establecido los compromisos",Las entidades federativas cuentan con ley local para prevenir y eliminar la discriminación.,Promoción de la protección de los derechos humanos y prevención de la discriminación,Derechos Humanos y Prevención de la Discriminación
2008,4P004,disminución del número de recomendaciones emitidas por la CNDH por violaciones a derechos humanos,Reducir el número de recomendaciones emitidas por la Comisión Nacional de los Derechos Humanos por violaciones a derechos humanos.,Divulgación de las acciones en materia de derechos humanos.,Derechos Humanos y Prevención de la Discriminación
2008,4P005,"Contribuir a que la ciudadanía conozca sobre el quehacer del Estado mediante programas y campañas de Comunicación Social, transmitidas a través de los Tiempos Oficiales.","Que los usuarios de los tiempos oficiales difundan sus programas de Comunicación Social, mediante la administración de los tiempos oficiales",Conducción de la política de comunicación social de la Administración Pública Federal y la relación con los medios de comunicación,Comunicación Social del Gobierno Federal
2008,4P006,,,Planeación demográfica del país,Planeación Demográfica
2008,4P007,,,Administración del Servicio Nacional de Identificación Personal,Sistema de Identificación Personal
2008,4P008,"Contribuir a garantizar el ejercicio de la libertad de creencias y de culto, mediante la constitución y registro de asociaciones religiosas que profesan diversos credos, cuando cumplen los requisitos exigidos por la Ley.","Garantizar el ejercicio de la libertad de creencias y de culto, mediante la constitución y registro de asociaciones religiosas que profesan diversos credos, cuando cumplen los requisitos exigidos por la Ley.",Conducción de la relación del Estado con las asociaciones religiosas,Relación del Estado con las asociaciones religiosas
2008,4P009,,,Defensa jurídica de la Secretaría de Gobernación y compilación jurídica nacional y testamentaria ciudadana,Apoyo jurídico a la Secretaría de Gobernación
2008,4R001,,,Pago a trabajadores jubilados de Talleres Gráficos de la Nación,Comunicación Social del Gobierno Federal
2008,4R002,,,Fondo de Apoyo Social para Ex Trabajadores Migratorios mexicanos en Estados Unidos,"Política interior y las relaciones del Ejecutivo Federal con el Congreso de la Unión, Entidades Federativas y Asociaciones Políticas y Sociales"
2008,4R003,,,Programa para el Registro Público de Propiedad Único,Apoyo jurídico a la Secretaría de Gobernación
2008,4R005,,,Programa de Integración del Registro Nacional de Población,Sistema de Identificación Personal
2008,4R006,,,Programa de Modernización Integral del Registro Civil,Sistema de Identificación Personal
2008,4R007,,,Programa para la adopción y uso de la CURP,Sistema de Identificación Personal
2008,4R008,,,Plan de Emergencias Radiológicas Externas (PERE),Sistema Nacional de Protección Civil
2008,4R009,,,Programa para el Fondo de Desastres Naturales (FONDEN),Sistema Nacional de Protección Civil
2008,4R010,,,"Conducción de Proyectos y Programas públicos a cargo de otras Secretarías de Estado, dirigidos al Estado de Chiapas, principalmente en el area de conflicto","Política interior y las relaciones del Ejecutivo Federal con el Congreso de la Unión, Entidades Federativas y Asociaciones Políticas y Sociales"
2008,4R302,,,Fondo de Apoyo Social para Ex Trabajadores Migratorios mexicanos en Estados Unidos (Ampliaciones determinadas por la Cámara de Diputados),"Política interior y las relaciones del Ejecutivo Federal con el Congreso de la Unión, Entidades Federativas y Asociaciones Políticas y Sociales"
2008,4R901,,,Equidad de Género (Ampliaciones determinadas por la Cámara de Diputados),"Política interior y las relaciones del Ejecutivo Federal con el Congreso de la Unión, Entidades Federativas y Asociaciones Políticas y SocialesDerechos Humanos y Prevención de la Discriminación"
2008,5E001,Contribuir a intensificar permanentemente la protección y la defensa de los derechos de los mexicanos en el exterior mediante apoyo a las comunidades en el exterior.,Las comunidades mexicanas en el exterior mejoran sus condiciones de vida con programas de vinculación y apoyo que permiten mantener la cultura e identidad como mexicanos,Atención a las comunidades mexicanas en el exterior,"Protección, asistencia y servicios eficientes y suficientes para los mexicanos en el exterior o que viajan al exterior"
2008,5E002,,Los mexicanos en el exterior reciben protección y asistencia consular eficiente y oportuna.,Protección y asistencia consular,"Protección, asistencia y servicios eficientes y suficientes para los mexicanos en el exterior o que viajan al exterior"
2008,5E003,,Los mexicanos en el exterior cuentan con documentación que les permite identificarse adecuadamente ante terceros.,Expedición de pasaportes y servicios consulares,"Protección, asistencia y servicios eficientes y suficientes para los mexicanos en el exterior o que viajan al exterior"
2008,5E004,,Población y Gobierno de México apoyados en la solución de litigios internacionales.,Defensa de los intereses de México y de sus nacionales en litigios internacionales,Asistencia jurídica para la defensa eficiente de México y de sus nacionales
2008,5K025,,,Proyectos de inmuebles (oficinas administrativas),Vínculos políticos con el exterior que benefician los intereses nacionalesServicios de apoyo administrativo|Participación activa en los foros multilaterales que logra decisiones que favorecen los intereses nacionales
2008,5M001,,,Actividades de apoyo administrativo,Servicios de apoyo administrativo
2008,5O001,,,Actividades de apoyo a la función pública y buen gobierno,Función pública y buen gobierno
2008,5P001,Promover las relaciones económicas bilaterales y aprovechar los acuerdos económicos de los que México es parte para encontrar oportunidades económicas y de cooperación internacional que contribuyan al desarrollo nacional y a la política exterior de México,Las relaciones económicas y de cooperación de México con otros países son profundizadas y diversificadas.|Diversificar y profundizar las relaciones económicas y de colaboración de México con otros países.,"Coordinación de la agenda económica, la promoción comercial de México en el exterior y la cooperación internacional",Vínculos económicos y de cooperación para el desarrollo que apoya la política exterior
2008,5P002,,,Diseño y conducción de la política exterior de México,Vínculos políticos con el exterior que benefician los intereses nacionales
2008,5P003,Mantener una política de apertura al escrutinio internacional y de colaboración con los mecanismos de derechos humanos de las naciones unidas y del sistema interamericano.,Promover acciones de apertura al escrutinio internacional.,Coordinación de la política exterior de México en materia de derechos humanos y democracia,Participación activa en los foros multilaterales que logra decisiones que favorecen los intereses nacionales
2008,5P004,,"Mediante la política exterior, la interlocución política y el desarrollo socio-económico y de cooperación internacional de México son promovidos y fortalecidos","Promoción y defensa de los intereses de México en el exterior, en los ámbitos bilateral y regional",Vínculos políticos con el exterior que benefician los intereses nacionales
2008,5P005,Mantener la presencia de México el la comunidad internacional.,Los intereses de México en los foros multilaterales son promovidos y defendidos.|Promover iniciativas que fortalezcan el multilateralismo.,Promoción y defensa de los intereses de México en el Sistema de Naciones Unidas y demás foros multilaterales que se ocupan de temas globales,Participación activa en los foros multilaterales que logra decisiones que favorecen los intereses nacionales
2008,5P006,Contribuir a incrementar la participación política de México mediante su colaboración activa con Organísmos Económicos Internacionales.,Contribuir a la defensa de los inntereses económicos de México mediante la participación en Organismos Económicos Internacionales.,Promoción y defensa de los intereses de México en los organismos económicos internacionales,Participación activa en los foros multilaterales que logra decisiones que favorecen los intereses nacionales
2008,5P007,,Dirigir la cooperación internacional en materia educativa y cultural de tal manera que permita que la cultura de México se difunda y promueva en el exterior en cumplimiento de los programas establecidos.,Promoción de la cultura de México en el exterior,"Transmisión de costumbres, valores e identidad mexicana que apoya la política exterior"
2008,5R001,Mantener una política de apertura al escrutinio internacional y de colaboración con los mecanismos de derechos humanos de las naciones unidas y del sistema internacional.,Promover acciones de apertura al escrutinio internacional.|México recibe beneficios políticos por su participación en organismos internacionales.,Compromisos financieros de México ante organismos internacionales,Participación activa en los foros multilaterales que logra decisiones que favorecen los intereses nacionales
2008,5R002,,"La SRE divulga acciones de política exterior y relaciones internacionales|Los miembros del SEM y de la SRE han adquirido conocimientos y habilidades en temas diplomáticos, asuntos consulares, política exterior y relaciones internacionales.",Fortalecimiento de las capacidades del Servicio Exterior Mexicano y de la Cancillería,Servicio Exterior Mexicano capacitado y actualizado
2008,5R003,"Se contribuye a la defensa de los intereses de México en sus fronteras con los Estados Unidos de América, Guatemala y Belíce|Preservación de la integridad territorial y delimitación de la frontera sur del país.",Los límites entre México con Estados Unidos Guatemala y Bellíce se aseguran y mantienen y las aguas internacionales de los ríos Bravo y Colorado son distribuidas|Que los límites territoriales fronterizos con Guatemala y Belice sean claramente visibles desde tierra y aire a fin de dar certeza a los pobladores asi como a las autoridades de ambos países del límite de su jurisdicción y para evitar la posibilidad de conflictos que pudieran originarse por desconocimiento de su ubicación física.,Preservación de la integridad territorial y delimitación de las fronteras del país,Delimitación y supervisión eficiente de la integridad territorial de México
2008,6B001,"Proporcionar los servicios de producción de impresos valorados, no valorados, numerados, de seguridad, a las Dependencias y Entidades de la Administración Pública Federal que lo requieran.",Impresos valorados y no valorados producidos con oportunidad,"Producción de impresos valorados, no valorados, numerados y de seguridad",Impresos y publicaciones oficiales seguros y confiables
2008,6E003,,Mejorar la administración de los Fondos Federales,Administración de los fondos federales y valores en propiedad y/o custodia del Gobierno Federal,Servicios de tesorería eficientes y transparentes
2008,6E005,"Contribuir al fortalecimiento de la democracia, a fin de garantizar los derechos políticos, las libertades civiles y el derecho a la información, a través de la difusión de los contenidos editoriales que se transmiten a los suscriptores y demás canales de difusión.",La sociedad es informada acerca de los hechos relevantes a nivel nacional con la visión del Estado Mexicano.,Recopilación y producción de material informativo (Notimex),Impulso a la diversificación de los servicios informativos
2008,6E006,Contribuir a garantizar la transparencia mediante el acceso a la información pública gubernamental.,Los ciudadanos tendrán acceso a la información pública gubernamental.,Promoción del acceso a la información pública,Acceso a la Información Pública Gubernamental
2008,6E008,"Contribuir a lograr que todos los mexicanos tengan acceso a la participación y disfrute de las manifestaciones artísticas y del patrimonio cultural, histórico y artístico del país a cargo de la SHCP, como parte de su pleno desarrollo como seres humanos.",Realizar eventos artísticos y culturales dirigidos a los trabajadores de la SHCP y sus familiares derechohabientes y al público en general,"Administración, restauración y difusión del acervo patrimonial y documental de la SHCP",Preservación y difusión del acervo patrimonial y documental a cargo de la SHCP
2008,6E011,Proporcionar servicios de asistencia y orientación a usuarios de servicios financieros.,"Brindar atención de calidad a usuarios de servicios financieros, contribuyendo al sano desarrollo del sistema financiero nacional.",Protección y Defensa de los Usuarios de Servicios Financieros,"Sistema financiero competitivo, eficiente y con mayor cobertura"
2008,6E306,,,Promoción del acceso a la información pública (Ampliaciones determinadas por la Cámara de Diputados),Acceso a la Información Pública Gubernamental
2008,6F001,"Otorgar a los productores rurales apoyos para respaldar los créditos, disminuyendo requerimientos de garantías.",Otorgar garantias líquidas complementarias a los productores rurales.,Programa de Garantías Liquidas,Financiamiento y fomento al sector rural
2008,6F002,"Aumentar la colocación y recuperación del crédito rural en manos de los productores mediante esquemas de capacitación y asistencia técnica, que permite el diseño, inubación y formatlecimiento de sus empresas, y coadyuven al uso eficiente del crédito y la","Programa Integral de Formación, Capacitación y Consultoría para Productores e Intermediarios Financiera Rurales.","Programa integral de formación, capacitación y consultoría para Productores e Intermediarios Financieros Rurales.",Financiamiento y fomento al sector rural
2008,6F006,"Promover la prestación de servicios financieros formales, confiables y seguros a la población que normalmente no es atendida por la banca comercial y, de esa forma, contribuir a la profundización del sistema financiero mexicano, lo cual permitirá el acces","Apoyar la transformación de las Sociedades del Sector de Ahorro y Crédito Popular, a fin de que estén en condiciones para ajustarse a la Ley de Ahorro y Crédito Popular y que sean autorizadas por la Comisión Nacional Bancaria y de Valores.",Fomento al Ahorro y Crédito Popular,Ahorro y crédito popular
2008,6F010,"Fortalecer el papel del sector financiero como detonador del crecimiento, la equidad y el desarrollo de la economía nacional, reduciendo en un 15% los requerimientos anuales de capitalización de las pequeñas y medianas empresas del Sector Agroindustrial","Promover la competencia en el sector financiero a través de la entrada de nuevos participantes, la promoción de una mayor diversidad de productos, vehículos y servicios financieros, fomentando la inversión financiera de largo plazo en el sector rural y agroindustrial",Programa Capital de Riesgo y para Servicios de Cobertura,Financiamiento y fomento al sector rural
2008,6F017,Impulsar el desarrollo del sector rural facilitando el acceso al crédito a los productores mediante el otorgamiento de garantías y apoyos para el fomento tecnológico y financiero.,Incrementar el otorgamiento de garantías al sector agropecuario.,Apoyos para el fomento financiero y tecnológico de los sectores agropecuario y pesquero,Financiamiento y fomento al sector rural
2008,6F026,"Proporcionar acceso a los productos de NAFIN a las micro, pequeñas y medianas empresas.","Canalizar financiamiento a las micro, pequeñas y medianas empresas.","Otorgamiento de crédito y garantías, capacitación, asistencia técnica e información a las MIPYMES",Actividades de fomento de la Banca de Desarrollo
2008,6F301,,,Programa de Garantías Liquidas (Ampliaciones determinadas por la Cámara de Diputados),Financiamiento y fomento al sector rural
2008,6F302,,,"Programa integral de formación, capacitación y consultoría para Productores e Intermediarios Financieros Rurales. (Ampliaciones determinadas por la Cámara de Diputados)",Financiamiento y fomento al sector rural
2008,6F306,"Promover la prestación de servicios financieros formales, confiables y seguros a la población que normalmente no es atendida por la banca comercial y, de esa forma, contribuir a la profundización del sistema financiero mexicano, lo cual permitirá el acceso a servicios financieros a la población atendida a incorporarse a la economía formal y a la realización de actividades generadoras de ingreso.","Apoyar la transformación de las Sociedades del Sector de Ahorro y Crédito Popular, a fin de que estén en condiciones para ajustarse a la Ley de Ahorro y Crédito Popular y que sean autorizadas por la Comisión Nacional Bancaria y de Valores.",Fomento al Ahorro y Crédito Popular (Ampliaciones determinadas por la Cámara de Diputados),Ahorro y crédito popular
2008,6F310,,,Programa Capital de Riesgo y para Servicios de Cobertura (Ampliaciones determinadas por la Cámara de Diputados),Financiamiento y fomento al sector rural
2008,6F317,Impulsar el desarrollo del sector rural facilitando el acceso al crédito a los productores mediante el otorgamiento de garantías y apoyos para el fomento tecnológico y financiero,Incrementar el otorgamiento de garantías al sector agropecuario,Apoyos para el fomento financiero y tecnológico de los sectores agropecuario y pesquero (Ampliaciones determinadas por la Cámara de Diputados),Financiamiento y fomento al sector rural
2008,6G001,"Democratizar el sistema financiero sin poner en riesgo la solvencia del sistema en su conjunto, fortaleciendo el papel del sector como detonador del crecimiento, la equidad y el desarrollo de la economía nacional.|Desarrollo y penetración del sector asegurador y contribuir a la consolidación del Sistema Nacional de Pensiones.","Atención de la banca de desarrollo ampliada en sectores prioritarios y estratégicos|El ahorro financiero nacional será canalizado a proyectos de inversión altamente productivos y con retornos más atractivos y adicionalmente, la población en general contará con mayor acceso a productos de aseguramiento para administrar eficientemente los",Regulación del sector financiero,"Sistema financiero competitivo, eficiente y con mayor cobertura"
2008,6G002,Prevenir y combatir el lavado de dinero y otras expresiones del crimen organizado con el fin de impedir el uso del sistema financiero mexicano para la realización de dichos ilícitos.,"El Sistema Financiero es protegido a través de la prevención, detección y alerta acerca de la realización de actos u operaciones vinculados con lavado de dinero y financiamiento al terrorismo.",Detección y prevención de ilícitos financieros relacionados con el terrorismo y el lavado de dinero,"Sistema financiero competitivo, eficiente y con mayor cobertura"
2008,6G003,Que el sistema de ahorro para el retiro opere con apego a la normativa vigente en beneficio de los trabajadores.,Entidades del SAR operando bajo una adecuada supervisión,"Regulación, inspección y vigilancia de entidades participantes en los Sistemas de Ahorro para el Retiro,","Sistema financiero competitivo, eficiente y con mayor cobertura"
2008,6G004,"Supervisar la operación de las aseguradoras y afianzadoras, para mantener su estabilidad y solvencia, y garantizar los intereses del público usuario; promover el sano desarrollo de estos sectores, con el propósito de extender la cobertura de sus servicio a la mayor parte posible de la población. El indicador da complimiento al eje 2 del PND, Economía y Fianzas Públicas, inciso 2.3 Sistema financiero eficiente. La meta consistirá en no mantener el valor del indicador por debajo del parámetro de 1, lo que supondrá la supervisión del total de las instituciones que conforman cada uno de los sectores asegurador y afianzador.","Supervisión financiera, técnica y legal de los Sectores Asegurador y Afianzador, a fin de garantizar su solvencia y liquidez. Cumplir con la estrategia del Objetivo Eje de Política Pública, que aplica o corresponde a la CNSF a saber, contribuir a la formación de ahorro interno a través del cumplimiento de la misión de supervisar, de manera eficiente, que la operación de los sectores asegurador y afianzador se apegue al marco normativo y promover el sano desarrollo de estos sentores con el propósito de extender la cobertura de sus servicios a la mayor posible de la población.","Regulación, inspección y vigilancia del sector asegurador","Sistema financiero competitivo, eficiente y con mayor cobertura"
2008,6G005,"Verificar que todas las entidades financieras supervisadas por la CNBV cumplan la normatividad que les es aplicable o en su caso, aplicar medidas correctivas para que cumplan.",Que las entidades financieras atiendan las acciones correctivas y/o corrijan las observaciones en los rangos establecidos.,"Regulación, inspección y vigilancia del sector bancario y de valores","Sistema financiero competitivo, eficiente y con mayor cobertura"
2008,6K014,,,Otros proyectos de infraestructura social,Promoción y Coordinación de las políticas publicas para el desarrollo de los pueblos y comunidades indígenas
2008,6K025,,,Proyectos de inmuebles (oficinas administrativas),Promoción y Coordinación de las políticas publicas para el desarrollo de los pueblos y comunidades indígenas
2008,6K026,,,Otros Proyectos,Servicios de apoyo administrativo
2008,6K027,,,Mantenimiento de infraestructura,Generación y coordinación de los sistemas nacionales de información estadística y geográficaPromoción y Coordinación de las políticas publicas para el desarrollo de los pueblos y comunidades indígenas|Política de ingresos equitativa y promotora de la competitividad|Mujeres en el Ejercicio de sus Derechos Humanos
2008,6K028,,,Estudios de preinversión,Promoción y Coordinación de las políticas publicas para el desarrollo de los pueblos y comunidades indígenasPolítica de ingresos equitativa y promotora de la competitividad
2008,6M001,,,Actividades de apoyo administrativo,Servicios de apoyo administrativo
2008,6O001,,,Actividades de apoyo a la función pública y buen gobierno,Función pública y buen gobierno
2008,6O099,,,Operación del Servicio Profesional de Carrera en la Administración Pública Federal Centralizada,"Hacienda pública responsable, eficiente y equitativaGeneración y coordinación de los sistemas nacionales de información estadística y geográfica|Servicios de apoyo administrativo|Sistema financiero competitivo, eficiente y con mayor cobertura"
2008,6P001,Definir una política de ingresos eficiente y equitativa que promueva el desarrollo en un entorno de estabilidad económica.,LOS INGRESOS PUBLICOS DEL GOBIERNO FEDERAL SON FORTALECIDOS A TRAVES DEL DISEÑO DE UNA POLITICA IMPOSITIVA.,Diseño de la política de ingresos,Política de ingresos equitativa y promotora de la competitividad
2008,6P002,,,"Diseño e instrumentación de las políticas y estrategias en materia de programación, presupuesto, gasto público federal, contabilidad y rendición de cuentas de la gestión del sector público",Gasto público transparente y orientado a resultados
2008,6P003,"Fortalecer el marco institucional de manejo de la deuda mediante el cumplimiento del techo de endeudamiento neto autorizado por el H. Congreso de la Unión para el ejercicio fiscal 2008 realizando las operaciones de manejo de deuda y la captación de recursos que se requieran.|Contribuir a la consolidación de una hacienda responsable , eficiente y equitativa proponiendo los lineamientos de política del gobierno federal en materia financiera, fiscal y de precios y tarifas de bienes y servicios del sector público, en coordinación con las Unidades administrativas competentes de la Secretaría y, en su caso, con el Banco de México, así como consolidar y dar a conocer las estadisticas de las finanzas públicas de manera oportuna y completa.",La deuda pública se administra de forma responsable y cautelosa.|Establecer los lineamientos generales de política económica que conduzcan a fortalecer la solvencia del gobierno federal y proveer la información estadística para el seguimiento de las finanzas públicas.,"Diseño e instrumentación de las estrategias macroeconómica, de finanzas y de deuda pública","Hacienda pública responsable, eficiente y equitativa"
2008,6P004,"Proporcionar asesoría jurídica a la Secretaria de Hacienda y Crédito Público, a fin de procurar la legalidad de su actuación dando certeza jurídica en las materias de su competencia, a través de la aplicación estricta, imparcial y equitativa de la legislación fiscal.",Representar a la SHCP atendiendo la revisión y opinión de proyectos de iniciativas de ley e intervenir en actuaciones jurídicas atendiendo las querellas y solicitudes de asesoria y consulta.,Asesoría jurídica y representación judicial y administrativa de la SHCP,Actuaciones de la SHCP apegadas a certeza jurídica y legalidad
2008,6P005,Contribuir a la homologación y actualización de los marcos regulatorios estatales y municipales,Que los municipios adopten el Código de Edificación de Vivienda,Conducción e instrumentación de la política nacional de vivienda y suelo para uso y redensificación habitacional,Conducción de la política nacional de vivienda
2008,6P006,Contribuir al respeto de los derechos y al desarrollo integral de los pueblos y comunidades indígenas,"Acción pública planeada y coordinada para el desarrollo integral de los pueblos y comunidades indígenas, pertinente en términos de la diversidad cultural.","Fomento y coordinación de políticas públicas, investigación y promoción vinculadas a las culturas indígenas",Promoción y Coordinación de las políticas publicas para el desarrollo de los pueblos y comunidades indígenas
2008,6P007,Contribuir a proporcionar el servicio público de información estadística y geográfica mediante la coordinación de las unidades productoras de información que integran los sistemas nacionales.,Los usuarios de los sistemas tienen acceso a la información estadística y geográfica generada por las UPI.,Generación y coordinación de los sistemas nacionales de información estadística y geográfica,Generación y coordinación de los sistemas nacionales de información estadística y geográfica
2008,6P008,Eficientar el control y la agilización del flujo de las mercancías que se internan o salen del territorio nacional.,Operaciones y transacciones de comercio exterior eficientadas y agilizadas que elevaron la competitividad.,Control de la operación aduanera,Política de ingresos equitativa y promotora de la competitividad
2008,6P009,Incrementar la recaudación tributaria en cantidad suficiente para contribuir al financiamiento del gasto público.,Evasión fiscal reducida a través de la aplicación de las facultades de comprobación con un nivel óptimo de efectividad y calidad.,Recaudación de las contribuciones federales,Política de ingresos equitativa y promotora de la competitividad
2008,6P010,Contribuir a la Igualdad entre Mujeres y Hombres,Perspectiva de Género Institucionalizada en el Estado Mexicano,Promoción y coordinación de las acciones para la equidad de género,Mujeres en el Ejercicio de sus Derechos Humanos
2008,6P011,RESTABLECER SOBRE BASES MÁS FIRMES LA RELACIÓN FISCAL ENTRE EL GOBIERNO FEDERAL Y LAS ENTIDADES FEDERATIVAS,"Que las entidades federativas y municipios dispongan en tiempo con los ingresos por participaciones, incentivos económicos por excepción y empréstitos en el marco del Perfeccionamiento del Sistema Nacional de Coordinación Fiscal.",Perfeccionamiento del Sistema Nacional de Coordinación Fiscal,"Hacienda pública responsable, eficiente y equitativa"
2008,6P306,Contribuir a la disminución de las desigualdades de género en comunidades indígenas,Capacidades fortalecidas de la población indígena en el ejercicio de los derechos de las mujeres a través de acciones integrales,"Fomento y coordinación de políticas públicas, investigación y promoción vinculadas a las culturas indígenas (Ampliaciones determinadas por la Cámara de Diputados)",Promoción y Coordinación de las políticas publicas para el desarrollo de los pueblos y comunidades indígenas
